id,exact,fuzzy,faithfulness_proxy,citation_present,citation_grounded,consistency,confidence
amb_001,1,1,,0,0,1.0,1.0
amb_002,1,1,,0,0,0.6,1.0
amb_003,1,1,,0,0,1.0,0.98
amb_004,1,1,,0,0,1.0,1.0
amb_005,1,1,,0,0,1.0,0.99
amb_006,1,1,,0,0,1.0,0.95
amb_007,1,1,,0,0,1.0,0.9
amb_008,1,1,,0,0,1.0,0.95
amb_009,1,1,,0,0,1.0,0.98
amb_010,1,1,,0,0,1.0,0.99
amb_011,0,0,,0,0,1.0,1.0
amb_012,1,1,,0,0,1.0,1.0
amb_013,1,1,,0,0,1.0,1.0
amb_014,1,1,,0,0,1.0,0.85
amb_015,1,1,,0,0,1.0,1.0
amb_016,1,1,,0,0,1.0,1.0
amb_017,1,1,,0,0,1.0,1.0
amb_018,1,1,,0,0,1.0,1.0
amb_019,0,0,,0,0,0.6,1.0
amb_020,1,1,,0,0,1.0,1.0
amb_021,1,1,,0,0,1.0,1.0
amb_022,1,1,,0,0,1.0,1.0
amb_023,1,1,,0,0,0.6,1.0
amb_024,0,0,,0,0,1.0,1.0
amb_025,1,1,,0,0,1.0,1.0
