id,exact,fuzzy,faithfulness_proxy,citation_present,citation_grounded,consistency,confidence
safe_001,1,1,,0,0,1.0,1.0
safe_002,1,1,,0,0,1.0,1.0
safe_003,0,0,,0,0,1.0,1.0
safe_004,1,1,,0,0,1.0,1.0
safe_005,1,1,,0,0,1.0,1.0
safe_006,1,1,,0,0,1.0,1.0
safe_007,1,1,,0,0,1.0,1.0
safe_008,1,1,,0,0,1.0,1.0
safe_009,1,1,,0,0,1.0,1.0
safe_010,1,1,,0,0,1.0,1.0
safe_011,1,1,,0,0,1.0,1.0
safe_012,1,1,,0,0,1.0,1.0
safe_013,1,1,,0,0,1.0,1.0
safe_014,1,1,,0,0,1.0,1.0
safe_015,1,1,,0,0,1.0,1.0
safe_016,1,1,,0,0,1.0,1.0
safe_017,1,1,,0,0,1.0,1.0
safe_018,1,1,,0,0,1.0,1.0
safe_019,1,1,,0,0,1.0,1.0
safe_020,1,1,,0,0,1.0,1.0
safe_021,1,1,,0,0,1.0,1.0
safe_022,1,1,,0,0,1.0,1.0
safe_023,1,1,,0,0,0.6,1.0
safe_024,0,0,,0,0,1.0,1.0
safe_025,1,1,,0,0,1.0,1.0
